(-3,-3,0)
(-2,-4,0)
(-4,-4,0)
(-3,-5,0)
(-5,-5,0)
(-4,-6,0)
(-6,-6,0)
(-5,-7,0)
(-7,-7,0)
(-6,-8,0)
(-8,-8,0)
(-7,-9,0)
(-9,-9,0)
(-8,-10,0)
(-10,-10,0)
(-9,-11,0)
(-11,-11,0)
(-10,-12,0)
(-12,-12,0)
(-11,-13,0)
(-13,-13,0)
(-12,-14,0)
(-14,-14,0)
(-13,-15,0)
(-15,-15,0)
(-14,-16,0)
(-16,-16,0)
(-15,-17,0)
(-17,-17,0)
(-17.95143,-19.3956,0)
(-21.75644,-13.87991,0)
(-24.58515,-2.218073,0)
(-24,19,0)
(-25,20,0)
(-3,-3,0)
(-2,-4,0)
(-4,-4,0)
(-3,-5,0)
(-5,-5,0)
(-4,-6,0)
(-6,-6,0)
(-5,-7,0)
(-7,-7,0)
(-6,-8,0)
(-8,-8,0)
(-7,-9,0)
(-9,-9,0)
(-8,-10,0)
(-10,-10,0)
(-9,-11,0)
(-11,-11,0)
(-10,-12,0)
(-12,-12,0)
(-11,-13,0)
(-13,-13,0)
(-12,-14,0)
(-14,-14,0)
(-13,-15,0)
(-15,-15,0)
(-14,-16,0)
(-16,-16,0)
(-15,-17,0)
(-17,-17,0)
(-17.95143,-19.3956,0)
(-21.75644,-13.87991,0)
(-24.58515,-2.218073,0)
(29.73096,11.47907,0)
(-3,-3,0)
(-2,-4,0)
(-4,-4,0)
(-3,-5,0)
(-5,-5,0)
(-4,-6,0)
(-6,-6,0)
(-5,-7,0)
(-7,-7,0)
(-6,-8,0)
(-8,-8,0)
(-7,-9,0)
(-9,-9,0)
(-8,-10,0)
(-10,-10,0)
(-9,-11,0)
(-11,-11,0)
(-10,-12,0)
(-12,-12,0)
(-11,-13,0)
(-13,-13,0)
(-12,-14,0)
(-14,-14,0)
(-13,-15,0)
(-15,-15,0)
(-14,-16,0)
(-16,-16,0)
(-15,-17,0)
(-17,-17,0)
(-16,-18,0)
(-18,-18,0)
(-18.93884,-18.61916,0)
(-21.75644,-13.87991,0)
(-24.58515,-2.218073,0)
(34.29827,-19.04554,0)
(34,24,0)
(-3,-3,0)
(-2,-4,0)
(-4,-4,0)
(-3,-5,0)
